	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
10	German	IE, Germanic	Latin	5	0.6834175134361665	0.6358223955982182	0.7950122224398886	0.8285796439872251	0.0964190268400831	0.3988092703160799	0.7819976662379585	0.8185110738007336	0.136531955241032
11	Greek	IE, Greek	Greek	3	0.7920724414830002	0.6887066461643602	0.8440116179736887	0.8158778891667091	0.0867327313228921	0.642576456518025	0.8457201435161456	0.8156021767586784	0.1170990118552776
12	Hebrew	Afro-Asiatic, Semitic	Hebrew	4	0.7754907566228321	0.6887745378311416	0.9163331427482372	0.8710743400384039	0.2579915504125912	0.6739089003239946	0.9123308557270822	0.8387931526154696	0.2207550380858532
13	Hindi	IE, Indic	Devanagari	2	0.9131949944558848	0.8046359364274777	0.8923913617403242	0.8575903440281867	0.0571387509585008	0.8678916521463647	0.9095517186757484	0.8889307484028132	0.0527919106034933
14	Icelandic	 IE, Germanic	Latin	3	0.6777834399713115	0.5599154445765623	0.6980729668006719	0.6695828382785841	-0.0660582065355224	0.5435894532208444	0.6820489591000887	0.6271688416435949	-0.0933971661368315
15	Irish	IE, Celtic	Latin	4	0.8315878856495896	0.7189357486555336	0.8041324653269176	0.7645178312533758	0.0410500635067573	0.7449759411265213	0.8239456552504953	0.8002558489922392	0.0581923661022116
16	Italian	IE, Romance	Latin	2	0.8320947515095216	0.7645146307477938	0.968183929400836	0.968111076328358	0.1395126007295074	0.5766372503483511	0.9716674407803064	0.972954212617273	0.116996470724721
17	Kazakh	 Turkic, Northwestern	Cyrillic	2	0.1656441717791411	0.7668711656441718	0.7484662576687117	0.4485294117647059	0.1100560574495663	0.8282208588957055	0.5705521472392638	0.5645424836601307	-0.0640728154064179
40	Kurmanji	 IE, Iranian	Latin	4	0.5611124664552329	0.4720663576482068	0.5759941449133935	0.5704435166835032	-0.0019620449964092	0.3652110270797755	0.4788972920224445	0.3333333333333333	0.0795514698398694
18	Latin	IE, Italic	Latin	3	0.7786976188444141	0.7293675855594436	0.7967909874541265	0.7896418583535628	-0.0392564592688329	0.7288555090893574	0.7873175727575318	0.780867657587248	-0.0661203042026612
19	Latvian	IE, Baltic	Latin	2	0.6369590500091816	0.5934382077492808	0.7664197833139499	0.7655612442684843	0.049688224297469	0.5753198261614739	0.7891901817959234	0.7892535663806064	0.0528575773903551
37	Ligurian	IE, Romance	Latin	2	0.73896499238965	0.7127092846270928	0.7850076103500762	0.7636537159415506	0.0481953585066274	0.7340182648401826	0.6464992389649924	0.6933052865071873	0.1036745083921052
20	Lithuanian	 IE, Baltic	Latin	4	0.685982104814657	0.56007669365147	0.7694929697486153	0.6955114025968391	0.1961940577073097	0.5988495952279506	0.773966766084363	0.6954680823234701	0.2137602383321962
41	Maghrebi Arabic French	Codeswitching	Latin	2	0.8826291079812206	0.8826291079812206	0.8591549295774648	0.5387234042553192	0.1448692152917504	0.8826291079812206	0.8779342723004695	0.5320212765957447	0.0909133663771245
21	Marathi	IE, Indic	Devanagari	3	0.7880434782608695	0.5978260869565217	0.782608695652174	0.7532218049391147	0.0125194099378882	0.7391304347826086	0.7934782608695652	0.6817594173210425	0.0925854037267081
45	Naija	Creole	Latin	3	1.0	1.0	1.0	1.0	0.0652961672473867	0.9696969696969696	0.9696969696969696	0.6666666666666666	0.0818224052370394
22	Norwegian (Bokmal)	 IE, Germanic	Latin	5	0.6900400997073806	0.6213287092229327	0.7537661211661428	0.6305142462741832	0.0219033433512859	0.5954264658068711	0.7302481846754091	0.5150421123187118	0.0492096743637224
23	Norwegian (Nynorsk)	IE, Germanic	Latin	5	0.6021788129226145	0.5797645880290508	0.737916353618833	0.6473807949800865	0.0045372715536814	0.5334335086401202	0.7227648384673178	0.5572968938391195	0.2051044824345401
