	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
35	Latvian	Masc,Fem	0.7891901817959234	0.7892535663806064	0.052857577390355126	0.6451548287200021	0.5750110862417378	0.6369590500091816	0.5753198261614739
36	Icelandic	Masc,Fem,Neut	0.6820489591000887	0.6271688416435949	-0.09339716613683158	0.5998625568475862	0.4770240713526917	0.6777834399713115	0.5435894532208444
37	Portuguese	Masc,Fem	0.9505462909718229	0.9496303592602551	0.13634815962327185	0.7847192200408154	0.778650449509235	0.7997124784358827	0.7797584818861415
38	Slovenian	Masc,Fem,Neut	0.6830204778156996	0.6740099455298295	0.004732607365263375	0.5087236835485575	0.3333333333333333	0.5728668941979522	0.4443686006825939
39	English	Masc,Fem,Neut	0.6871794871794872	0.6666666666666666	-0.04386177018789983	1.0	0.9916666666666667	1.0	0.9974358974358974
40	Irish	Fem,Masc,Masc,Fem	0.8239456552504953	0.8002558489922392	0.05819236610221168	0.760247462830827	0.7064935895613611	0.8315878856495896	0.7449759411265213
41	Swedish	Com,Masc,Fem,Neut	0.9052723059096176	0.5953030737754874	0.32850393545930856	0.5193252546164766	0.4956614715091461	0.8480590961761297	0.7746234067207416
42	Ligurian	Masc,Fem	0.6464992389649924	0.6933052865071873	0.10367450839210524	0.6682785299806576	0.6755828797060544	0.73896499238965	0.7340182648401826
43	Marathi	Masc,Fem,Neut	0.7934782608695652	0.6817594173210425	0.0925854037267081	0.676995561625128	0.6646659838397633	0.7880434782608695	0.7391304347826086
44	Norwegian_(Bokmal)	Fem,Masc,Masc,Fem,Neut	0.7302481846754091	0.5150421123187118	0.04920967436372248	0.5101199611127414	0.3587044448495492	0.6900400997073806	0.5954264658068711
45	Bulgarian	Masc,Fem,Neut	0.834865452114324	0.8332136104119598	0.1533594739917088	0.574194575024595	0.41347562188168735	0.6449941500919272	0.5045963563429717
46	Latin	Masc,Fem,Neut	0.7873175727575318	0.780867657587248	-0.06612030420266124	0.7619429507689889	0.7252907490245063	0.7786976188444141	0.7288555090893574
