	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
11	Kirghiz	PROPN,NOUN,ADJ,PUNCT,PRON,ADV,VERB,CCONJ,NUM,ADP	0.5511321592422673	0.2665642742656254	0.2752700902767501	0.3063870600067914	0.18996136930621293	0.6156578363178925	0.5056977948793844
12	Maltese	PROPN,PART,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.7166982750835366	0.5106389253770878	0.3184322225232548	0.7470357566429906	0.3076621333498244	0.8460218549625215	0.49769710105662424
13	Estonian	PROPN,NOUN,AUX,X,ADJ,INTJ,SCONJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,NUM,ADP	0.6785751076498342	0.40995100198504925	0.35770649195459137	0.5542319463064795	0.20267177222299457	0.714980324288687	0.47543111440756536
14	Hebrew	PROPN,_,NOUN,AUX,X,NUM,ADJ,PUNCT,PRON,ADV,DET,VERB,CCONJ,SCONJ,ADP	0.7073670300627685	0.5352702662079949	0.3481334654773704	0.6862640288136981	0.06666666666666667	0.7289065080938223	0.20277502477700693
15	Kazakh	PROPN,PART,_,NOUN,AUX,X,ADJ,SCONJ,PRON,PUNCT,ADV,DET,VERB,CCONJ,NUM,ADP	0.4782348839525849	0.16002669976130746	0.2546070325729654	0.23709160971705487	0.05821173710457377	0.5566291463293157	0.297041538001793
16	North_Sámi	PROPN,PART,VERB,NOUN,AUX,ADJ,INTJ,PUNCT,PRON,ADV,NUM,CCONJ,SCONJ,ADP	0.6829170829170829	0.4658818810491262	0.30549450549450546	0.7187294249918728	0.39704704619257786	0.8004995004995005	0.5501498501498502
17	German	PROPN,PART,_,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,DET,ADV,VERB,CCONJ,SCONJ,ADP	0.8132587309686836	0.6130896971279471	0.4295470457700934	0.6912270056764206	0.41517272836275926	0.8023086781616016	0.6061511350555958
18	Turkish	PROPN,NOUN,AUX,X,ADJ,SCONJ,PUNCT,PRON,ADV,DET,VERB,CCONJ,NUM,ADP	0.7392256394943765	0.45874129011665465	0.3913606051557679	0.6214571366932554	0.06666666666666667	0.756146113267642	0.34468000398128795
19	Belarusian	PROPN,PART,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,SCONJ,ADP	0.6805520859355484	0.41126800428987653	0.44129402947789165	0.5788105219199258	0.058823529411764705	0.7165875593305021	0.2885960529602798
20	Lithuanian	PROPN,PART,VERB,_,NOUN,X,AUX,ADJ,INTJ,PUNCT,PRON,DET,ADV,NUM,SYM,CCONJ,SCONJ,ADP	0.6703853955375254	0.4282725531212098	0.3747003503595796	0.5572098434148204	0.058823529411764705	0.6939885672137194	0.2590816891019731
21	Greek	PROPN,PART,_,NOUN,AUX,X,NUM,ADJ,PUNCT,PRON,DET,ADV,VERB,CCONJ,SCONJ,ADP	0.7683574436916316	0.5903173547137697	0.3642190075077825	0.7431763852293163	0.22681039296182537	0.8241164621864128	0.5198681560153818
22	Slovak	PROPN,PART,_,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,ADV,DET,VERB,CCONJ,SCONJ,ADP	0.5861690450054885	0.3621108499114541	0.3293868590246197	0.5648514823580328	0.2096915347039589	0.6249803983064137	0.4632272228320527
23	Wolof	PROPN,PART,_,NOUN,AUX,NUM,ADJ,INTJ,PRON,PUNCT,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.6990291262135923	0.46252428281822233	0.26867064973861093	0.6622691839026138	0.4253584327074005	0.7851008215085885	0.6272404779686334
24	Ukrainian	PROPN,PART,_,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.7236941271957794	0.41428404067030705	0.3970085222331729	0.5421568464094135	0.05555555555555555	0.718534407791756	0.2630297408545423
25	Vietnamese	PROPN,PART,NOUN,AUX,X,ADJ,INTJ,SCONJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,NUM,ADP	0.7447827574409853	0.465628786498959	0.36033185083818	0.6383706529665475	0.2038339534361222	0.7843824837495723	0.4875128292849812
26	Turkish_German	PROPN,PART,_,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,ADV,DET,VERB,CCONJ,SCONJ,ADP	0.6390961565535689	0.3968498353668486	0.23961706321272697	0.6293131247074529	0.058823529411764705	0.6972406025622976	0.18316204420667323
27	Serbian	PROPN,PART,VERB,NOUN,AUX,X,ADJ,PUNCT,PRON,ADV,DET,NUM,CCONJ,SCONJ,ADP	0.8059714560896594	0.6018006242469159	0.435601085719289	0.6925949521177932	0.20913228075794238	0.7903861308116628	0.4832326416250766
28	Danish	PROPN,PART,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,SCONJ,ADP	0.7444876783398184	0.49714963234867077	0.3054973560810137	0.6528789308330526	0.24923012354102253	0.7801057567594533	0.5062356579866307
29	Telugu	PROPN,PART,NOUN,ADJ,INTJ,SCONJ,PRON,PUNCT,ADV,DET,VERB,CCONJ,NUM,ADP	0.7877947295423023	0.40036251295413383	0.33287101248266293	0.6931528424195726	0.18236965252540657	0.8085991678224688	0.4535367545076283
30	Catalan	PROPN,PART,_,NOUN,AUX,ADJ,INTJ,SCONJ,PRON,PUNCT,DET,ADV,VERB,SYM,CCONJ,NUM,ADP	0.8454880175699244	0.6310250833248903	0.3201182094179963	0.6868528219084991	0.49014976429776785	0.8320198953555972	0.7071410115625606
31	Spanish	PROPN,PART,_,NOUN,AUX,NUM,ADJ,INTJ,PUNCT,PRON,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.7965876197838946	0.5428945440737127	0.3385771561101023	0.6655950154325848	0.4898772895984936	0.814296758418583	0.6836087089408677
32	Korean	PROPN,PART,NOUN,AUX,X,NUM,ADJ,PUNCT,PRON,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.666008601847282	0.32858868486046094	0.4591059719382359	0.4555537323714011	0.1363143354256044	0.5950081082986675	0.3992455756892054
33	French	PROPN,_,NOUN,AUX,X,NUM,ADJ,INTJ,PRON,PUNCT,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.7915492957746478	0.5801511938070544	0.2678970373967945	0.6919707245790161	0.10157111148524625	0.8169985429820301	0.2724623603691112
34	Italian	PROPN,PART,_,NOUN,AUX,X,ADJ,INTJ,SCONJ,PRON,PUNCT,ADV,DET,VERB,SYM,CCONJ,NUM,ADP	0.7556033709879864	0.5299385069635032	0.34462972924511387	0.6867192824885593	0.460708390461402	0.812085350546889	0.6900663439124978
35	Uyghur	PROPN,PART,VERB,NOUN,AUX,X,ADJ,INTJ,PUNCT,PRON,ADV,DET,NUM,CCONJ,SCONJ,ADP	0.6486931268151016	0.24686610551352817	0.3582768635043562	0.7297408327421366	0.37616303028082443	0.8293320425943853	0.6322362052274927
36	Arabic	PROPN,PART,_,NOUN,X,AUX,NUM,ADJ,PRON,PUNCT,DET,ADV,VERB,SYM,CCONJ,SCONJ,ADP	0.745886825377041	0.48422849369218796	0.46453944908388384	0.7746845944387212	0.2830666545505288	0.80281339474667	0.5803938676305621
37	Norwegian_(Nynorsk)	PROPN,PART,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,SCONJ,ADP	0.7344286117950996	0.5696587759398352	0.26383562749767897	0.7286181699059188	0.058823529411764705	0.7848867718887499	0.19844185201630807
38	Urdu	PROPN,PART,VERB,NOUN,AUX,X,ADJ,PUNCT,PRON,DET,ADV,NUM,CCONJ,SCONJ,ADP	0.7213967310549777	0.6035931309255185	0.27556396055653115	0.7846846515516569	0.601411432609785	0.8339862218019721	0.6593948399297582
39	Kurmanji	PROPN,PART,NOUN,AUX,NUM,ADJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,SCONJ,ADP	0.3942908117752007	0.15580461064120565	0.22807017543859648	0.3424560389824395	0.11156892786910808	0.5996629993061751	0.36445633858657944
40	Welsh	PROPN,PART,_,NOUN,AUX,ADJ,SCONJ,PUNCT,PRON,ADV,DET,VERB,SYM,CCONJ,NUM,ADP	0.7396507863089732	0.4998355981725562	0.34429925994449584	0.7542972299023594	0.2035494241486211	0.8224444958371878	0.5172294172062905
41	Romanian	PROPN,PART,NOUN,AUX,X,NUM,ADJ,INTJ,PUNCT,PRON,DET,ADV,VERB,CCONJ,SCONJ,ADP	0.7395858858123009	0.5796156215798185	0.4067630482724822	0.6523906016338683	0.48019613786598864	0.7926978681695663	0.6463489340847831
42	Dutch	PROPN,NOUN,AUX,X,ADJ,INTJ,SCONJ,PRON,PUNCT,DET,ADV,VERB,SYM,CCONJ,NUM,ADP	0.7311137247806025	0.5373645143956642	0.3675020356464308	0.6146291340158786	0.2937014804676392	0.7668506287885641	0.5325251063059803
