	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
21	Kazakh	 Turkic, Northwestern	Cyrillic	7	0.5750528541226215	0.4136715997181113	0.711768851303735	0.6267471221826513	0.3358349933497555	0.5588442565186751	0.5698848954662908	0.2186284580116733	0.3539271307486895
22	Kirghiz	Turkic, Northwestern	Cyrillic	13	0.5249419953596288	0.4208236658932714	0.6574825986078886	0.2962477891769288	0.2880878968171531	0.45330626450116	0.5014501160092807	0.1088793554319624	0.222184169583352
44	Komi Zyrian	Uralic, Permic	Cyrillic	9	0.6303357996585088	0.6303357996585088	0.4618668184405236	0.0813887982611065	0.1683038312642601	0.6129766647694934	0.5509391007398976	0.0560426093076626	0.2850351530406268
43	Kurmanji	 IE, Iranian	Latin	3	0.3773981603153745	0.3495400788436268	0.5137976346911958	0.3944194102631618	-0.0627709053028571	0.3243101182654402	0.5006570302233903	0.3648079778981744	-0.0277402341239186
23	Latin	IE, Italic	Latin	7	0.6746487070757462	0.6123721626340733	0.7079072087802445	0.5190714782782139	-0.0980169300751367	0.4921426789723123	0.7027521410160472	0.3704416231208368	-0.0077089231844621
24	Latvian	IE, Baltic	Latin	6	0.5511939429237042	0.3636575422248107	0.689341875364007	0.600941017089984	0.1313121137767223	0.3529411764705882	0.6210250436808387	0.5273211196697137	0.1792414818908765
25	Lithuanian	 IE, Baltic	Latin	7	0.5230887143130868	0.4236443763173022	0.7945966660279747	0.5659894752695236	0.2791992845048325	0.3864725043111707	0.7231270358306189	0.4157944331734213	0.3297101079309323
26	Marathi	IE, Indic	Devanagari	9	0.5571428571428572	0.4571428571428571	0.65	0.638853977563655	-0.0308035714285713	0.5428571428571428	0.5571428571428572	0.2596587999813806	0.1017857142857143
50	Moksha	Uralic, Mordvin	Cyrillic	9	0.5163656884875847	0.4774266365688487	0.5564334085778782	0.210862180884182	0.2195860190196452	0.4881489841986456	0.2121896162528216	0.1195902096338063	0.0041072869355525
49	Naija	Creole	Latin	3	0.9634308510638298	0.9634308510638298	0.9654255319148936	0.9474406916365042	0.0224290162354511	0.964095744680851	0.9680851063829788	0.6211397071076715	0.0561687300763584
48	North Sámi	Uralic, Sami	Latin	8	0.5621742367833209	0.4199553239017126	0.6304293869446512	0.6235673356774822	0.0549049114201757	0.3608835939439067	0.5343757756267064	0.3509504956678302	0.0866235278744586
27	Norwegian (Bokmal)	 IE, Germanic	Latin	3	0.8858921161825726	0.9771784232365144	0.9923928077455048	0.9928004866180048	0.2288608048088433	0.8651452282157677	0.9716459197787	0.9323348610875346	0.2510292208532509
28	Norwegian (Nynorsk)	IE, Germanic	Latin	3	0.852	0.9346666666666666	0.9253333333333332	0.8743937586960843	0.1732241822414187	0.832	0.9413333333333334	0.9000472073146492	0.188537951264145
29	Polish	IE, Slavic	Latin	7	0.4341059381470843	0.3189499699418876	0.59147685525349	0.5034638309823972	0.0221152536471591	0.3494756529289961	0.5212744639636631	0.3569925825348809	0.0486175218978743
30	Romanian	IE, Romance	Latin	9	0.903912050256996	0.816533409480297	0.968732153055397	0.7834203136678219	0.336350383881175	0.8442318675042833	0.940890919474586	0.4077606258248206	0.4655172365537331
31	Russian	IE, Slavic	Cyrillic	8	0.4351155076932069	0.3273959992401771	0.6229671084354954	0.4888698351590141	0.0381479121623371	0.2911144556307261	0.5932755673100808	0.4037416801207197	0.1204641690481764
32	Serbian	IE, Slavic	Latin	6	0.6422919109026963	0.4827080890973036	0.7060375146541618	0.6249412974823723	0.0866521718645636	0.2793083235638921	0.6777549824150059	0.5375249401498825	0.2445179628895702
