	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
15	Turkish	Sing,Plur	0.9688922610015175	0.9125506866819755	0.20050368729792434	0.6155055383700555	0.5742249128600256	0.8987101669195751	0.8558421851289834
16	Belarusian	Sing,Plur	0.8137056976222521	0.7715265239920719	0.11154481828175744	0.5771583250698851	0.5	0.7238672050246747	0.6748541947061463
17	Lithuanian	Sing,Dual,Plur	0.7834777993985494	0.5109520550788118	0.19671770351066453	0.3944360850067614	0.36666202770194406	0.6716787546435521	0.6134795683707766
18	Greek	Sing,Plur	0.9349112426035503	0.9243612459875791	0.12407073720160922	0.7730280013401425	0.7079783844550046	0.8712656949054698	0.7768797806321258
19	Slovak	Sing,Plur	0.807666974048215	0.7073098464507468	0.11549197012787626	0.554712101319803	0.5623577390764999	0.8038466605190357	0.7197997628770912
20	Wolof	Sing,Plur	0.9766612641815235	0.9712062779688239	0.08737821713148619	0.956571283937665	0.9547282828086581	0.9747163695299838	0.9633711507293355
21	Ukrainian	Ptan,Sing,Plur	0.8475218352099337	0.5565685546156329	0.21415178477222718	0.46932212606753554	0.3333333333333333	0.7883826160159949	0.7293486267494476
22	Turkish_German	Sing,Plur	0.9099236641221374	0.8459120133476548	0.040502292870553624	0.7210747337268162	0.6968051419639815	0.9068702290076336	0.856793893129771
23	Serbian	Sing,Plur	0.848421052631579	0.7839742142671022	0.04420075668551471	0.6959478452084892	0.6004242170966673	0.8328421052631579	0.7508771929824561
24	Danish	Sing,Plur	0.9007891770011274	0.860469032882826	0.09035317979470214	0.7342133796555101	0.706355459342827	0.8604847801578354	0.7911499436302142
25	Catalan	Sing,Plur	0.9867354196301564	0.9859634616128865	0.15494160786089084	0.8353446350526881	0.7904146102225367	0.9130867709815078	0.8362731152204836
26	Spanish	Sing,Plur	0.9929208280717866	0.9905684844103264	0.13157349522987438	0.8042313540083799	0.7612456647461129	0.8954578502276814	0.8116557609153178
27	French	Sing,Plur	0.9677190493082654	0.9564699275088726	0.11215809738985838	0.7725811120340306	0.7788592715648519	0.8721177722596666	0.8286626463284853
28	Italian	Sing,Plur	0.9616363636363636	0.9466628380899764	0.11135843643535948	0.7782345415158256	0.7494973694978057	0.8845454545454545	0.8205454545454546
29	Uyghur	Sing,Plur	0.8537444933920705	0.7948934957563105	0.17591293482479076	0.7383796385310517	0.8365407064575494	0.8176211453744493	0.8546255506607929
30	Arabic	Sing,Dual,Plur	0.9426005703537407	0.7611330805629337	0.25937733714920375	0.6426841255256824	0.3333333333333333	0.9245591710598073	0.8266488683939082
31	Norwegian_(Nynorsk)	Plur	0.9993355481727575	0.5	-0.0006644518272425071	0.5	0.5	0.9993355481727575	0.9993355481727575
32	Urdu	Sing,Plur	0.9454825236315674	0.8635858874111877	0.0786717712338908	0.7809298550638094	0.7716965033182246	0.9335018685425368	0.9061332160914487
33	Kurmanji	Sing,Plur,Plur,Sing	0.18672951414068165	0.3333333333333333	-0.31500504825400566	0.610876121070877	0.3333333333333333	0.814902102973169	0.18672951414068165
34	Welsh	Sing,Plur	0.9486769230769231	0.9062208585412005	0.12530735785953173	0.8009140701997461	0.5	0.9302153846153847	0.8308923076923077
35	Romanian	Sing,Plur	0.890284757118928	0.8463677947843016	0.09470769267393897	0.7115259299360387	0.5	0.8534338358458962	0.7480258435032304
36	Dutch	Sing,Plur	0.9370149253731344	0.923398441533291	0.15541716910786696	0.7123893805309734	0.686045236341432	0.8641791044776119	0.797910447761194
37	Komi_Zyrian	Sing,Plur	0.8187214611872146	0.4980083698525121	0.2447963920396159	0.5015968797555981	0.5	0.819634703196347	0.8228310502283105
38	Chinese_(Simplified)	Plur	1.0	1.0	0.0	1.0	1.0	1.0	1.0
39	Chinese_(Traditional)	Plur	1.0	1.0	0.0	1.0	1.0	1.0	1.0
40	Polish	Ptan,Sing,Plur	0.8239897095079859	0.607869749167508	0.18901658011567501	0.5138317937147399	0.3932301629508023	0.7940829670918641	0.6910172580126487
41	Tamil	Sing,Plur	0.9573863636363636	0.932983682983683	0.2368183379835922	0.7317404817404818	0.7047397047397048	0.8986742424242424	0.8200757575757576
42	Hungarian	Sing,Plur	0.9398357633651752	0.856709699035902	0.17385184299764067	0.5798773878564414	0.5394444084168659	0.8950896597955421	0.8424669012904307
43	Russian	Sing,Plur	0.8787022062000766	0.8554278588985149	0.10923091389491602	0.6254164341939334	0.582163026775283	0.7914418696527118	0.6839960987172681
44	Persian_(Farsi)	Sing,Plur	0.937618699780862	0.8996852225529088	0.1319369281160374	0.7802904957759773	0.7347030665780969	0.9106647187728268	0.8377647918188459
45	Czech	Sing,Dual,Plur,Sing,Plur	0.791550804342005	0.3737640440487231	0.2132414971183617	0.3952877206151919	0.28730443269391337	0.7789758800387238	0.6896949473727574
46	Indonesian	Sing,Plur	0.9944938585345193	0.9666409136118215	0.17292506728900936	0.7777777777777778	0.5	0.9711986446421008	0.9351969504447268
47	Latvian	Ptan,Sing,Coll,Plur	0.7892335766423357	0.4343715986565015	0.24976480497451348	0.3741944345260012	0.3097217345216614	0.7782276459854015	0.6821395985401459
48	Icelandic	Sing,Plur	0.8474013260056443	0.7901747854465899	0.01339925183620616	0.725048420337155	0.5	0.8552871436866197	0.7497468166412358
49	Afrikaans	Sing,Plur	0.9247153874403232	0.9252701827780268	0.04684596480293879	0.8434864104967198	0.5	0.8773411678295997	0.6081527726771943
50	Portuguese	Sing,Plur	0.9779450292954794	0.9775501392395	0.15193774472203425	0.7429199038476675	0.7355191068553635	0.8572143095317487	0.8075548992521316
51	Slovenian	Sing,Dual,Plur	0.8113983139413363	0.6239138382053672	0.12752912126780436	0.5199653692793645	0.3874545297362963	0.7829722009336028	0.6917020831881836
52	English	Sing,Plur	0.925772769564768	0.8680514575627152	0.07995744539973848	0.730303997464898	0.5	0.8888659154347152	0.8157758709810814
53	Irish	Sing,Plur	0.8654529307282416	0.7940003622576385	0.02085900452386924	0.7331457598557481	0.7059074452085322	0.9056394316163411	0.8317051509769094
54	Swedish	Sing,Plur	0.8736378107016041	0.8582012766769964	0.054987756743005045	0.7354908378420502	0.5	0.8155993632912942	0.6667074813272927
55	Ligurian	Sing,Plur	0.2107367218732153	0.5	-0.34896265419031275	0.5600711235042886	0.5	0.8135351227869788	0.7892632781267847
56	Marathi	Sing,Plur	0.8767123287671232	0.7535640035640035	0.06867661448140894	0.7214879714879715	0.7560885060885061	0.8949771689497716	0.863013698630137
57	Norwegian_(Bokmal)	Sing,Plur,Sing,Plur	0.8896098044516536	0.5811159439128363	0.13992683041441145	0.4807492509157327	0.3333333333333333	0.8334685050013517	0.7164098404974317
58	Bulgarian	Ptan,Sing,Plur,Count	0.8851351351351351	0.4323763675779101	0.29012114378433373	0.6705324952315384	0.5669477161071989	0.8190315315315315	0.7251126126126126
59	Armenian	Sing,Assoc,Coll,Plur	0.9227449287872248	0.568108124983063	0.4188349535821895	0.5781471929431113	0.32519141020612924	0.8644799309451877	0.7772982304704359
60	Latin	Sing,Plur	0.9054096804808605	0.8191170541281032	0.047113205477509745	0.787610844317443	0.7531238190498244	0.9148370768744069	0.8285352736475798
