	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
57	Slovenian	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.851033723763855	0.8118250128885421	0.27564656866598536	0.6718088105637295	0.609392263208996	0.7439273642009276	0.6460183947802846
58	English	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.833713163064833	0.7220390810053297	0.11159135559921418	0.6519663295637668	0.5934948422659756	0.7548133595284873	0.6622789783889981
59	Irish	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8356909684439608	0.6545294261444055	0.12147591255317047	0.6133946559272683	0.5850139182048263	0.8295578197645662	0.734296171728163
60	Swedish	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.84582556656529	0.7693834716246539	0.14303934072402635	0.6768968240018322	0.6513496123847482	0.7973118807024429	0.7049936230746591
61	Ligurian	ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN	0.5146057855927396	0.41070758631179066	0.008508224617129856	0.35020348041321464	0.2808358752856517	0.44625638116846283	0.421724333522405
62	Marathi	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8080357142857143	0.6447258522332168	0.1339285714285714	0.5713219787326229	0.5242686333043757	0.7633928571428571	0.6696428571428571
63	Norwegian_(Bokmal)	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8570713475271975	0.7821830360198551	0.14626576787025292	0.7068164089366169	0.6771093166716087	0.7948007742107722	0.6979243142227858
64	Bulgarian	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8823454591706945	0.8079988900823157	0.25305265835665225	0.6716522142930378	0.6095977144044201	0.775248028491478	0.6949249554820657
65	Armenian	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.807743658210948	0.6619721561357675	0.2818996757581538	0.5680793508511565	0.4629278194009037	0.753004005340454	0.6160595079153156
66	Latin	ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.9177389089934325	0.8332816993865575	0.09589867310012057	0.7555029611068796	0.7365147847485847	0.8711968904972524	0.8329312424607962
