	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
25	French	Fut,Past,Pres,Imp	0.9168356997971603	0.646834253735874	0.23339713738822387	0.5515671280120746	0.3544032898785878	0.7667342799188641	0.6795131845841785
26	Italian	Fut,Past,Pres,Imp	0.9227871939736346	0.7119164807904866	0.2996026861737422	0.5439200052971466	0.25	0.716572504708098	0.5706214689265536
27	Uyghur	Past,Pres	0.916058394160584	0.7084076717216771	0.22515810374432066	0.8092105263157895	0.5	0.9470802919708029	0.8613138686131386
28	Norwegian_(Nynorsk)	Past,Pres	0.9663133989401969	0.9716317991631799	0.15232236030942947	0.8688981868898187	0.8738220217718126	0.9288417865253595	0.9258137774413323
29	Urdu	Fut,Past,Pres	0.9814471243042672	0.9502487562189055	0.48752574108124946	0.8736525704809287	0.9482794361525704	0.9517625231910947	0.9795918367346939
30	Kurmanji	Past,Pres	0.6176923076923077	0.3446382831625714	-0.03489962411461078	0.2850609756097561	0.2850609756097561	0.4846153846153846	0.4846153846153846
31	Welsh	Fut,Pqp,Imp,Past,Pres	0.9368421052631579	0.7279006317386486	0.3949248989726861	0.5284754161546534	0.34843243931624357	0.7571428571428571	0.6165413533834586
32	Romanian	Pqp,Past,Pres,Imp	0.8343419062027232	0.4355112835166472	0.21586604244384056	0.3062088164501842	0.25431732196733875	0.8517397881996974	0.8267776096822995
33	Dutch	Past,Pres	0.9757174392935982	0.9612157534246575	0.1780154579310722	0.8267045454545454	0.831343399750934	0.9326710816777042	0.8984547461368654
34	Komi_Zyrian	Past,Pres	0.6560150375939849	0.3333333333333333	0.05832833907751522	0.3762057877813505	0.3333333333333333	0.693609022556391	0.29229323308270677
35	Polish	Fut,Past,Pres	0.8624702459666754	0.6283296216714453	0.3241131916939535	0.5550341087553985	0.5343759792956635	0.6532663316582915	0.5770960063475271
36	Tamil	Fut,Past,Pres	0.8076923076923077	0.6180996580361504	0.2053102646322985	0.7267304757941462	0.5301660967269174	0.7596153846153846	0.6923076923076923
37	Hungarian	Past,Pres	0.9348066298342541	0.9369389134337993	0.1584858028817273	0.6689816215780024	0.6407457281768847	0.611049723756906	0.6375690607734806
38	Russian	Fut,Past,Pres	0.9393576071180665	0.7111852159903592	0.3088833335926945	0.454001039366893	0.4334307852169729	0.6859342462295702	0.6142487537073263
39	Persian_(Farsi)	Fut,Past,Pres	0.9792617171298217	0.9825808991184095	0.36654732030637416	0.9167989967989968	0.3333333333333333	0.9141435089174617	0.5031107424305268
40	Czech	Fut,Past,Pres	0.9411181717483822	0.6527703808991276	0.29126131202585415	0.7069845094676177	0.4510872752097108	0.7283274062846149	0.6799393692065527
41	Latvian	Fut,Past,Pres	0.8351483289523094	0.7617910268842424	0.1822868430063923	0.5093849982733915	0.4384257866262787	0.5983852797596696	0.6205407435223432
42	Icelandic	Past,Pres	0.9316239316239316	0.9285436571163261	0.10107642241533454	0.8270455668562438	0.5	0.8478632478632478	0.5606248157972296
43	Afrikaans	Past,Pres	0.9516752577319587	0.9075672867603404	0.06257657940541594	0.752016129032258	0.5	0.9207474226804123	0.8402061855670103
44	Portuguese	Fut,Pqp,Imp,Past,Pres	0.8506133422954125	0.5076810973832206	0.28389841344442956	0.47455685078423004	0.2	0.7302974290035288	0.053100319274071585
45	Slovenian	Fut,Pres	0.9979919678714859	0.9761904761904762	0.21939751774964011	0.9761904761904762	0.9761904761904762	0.9979919678714859	0.9979919678714859
46	English	Past,Pres	0.9882005899705014	0.9869576287555533	0.1849785860412283	0.818025777449999	0.5	0.8487147071217868	0.5853350189633375
47	Irish	Fut,Past,Pres	0.9082177161152615	0.9057523878598596	0.20814847088823607	0.7302108103548313	0.7586618103254333	0.7790821771611526	0.80042689434365
48	Swedish	Past,Pres	0.9604679306171844	0.9304544545808475	0.14000290560001571	0.6635021097046414	0.5	0.8713190802743042	0.8087938684953611
49	Ligurian	Past,Pres,Imp	0.7273612463485881	0.4101749293407685	0.1387339065868184	0.273582995951417	0.25	0.6874391431353457	0.6708860759493671
50	Marathi	Fut,Past,Pres	0.9090909090909091	0.9166666666666666	0.22382305194805197	0.5833333333333334	0.4166666666666667	0.8636363636363636	0.6818181818181818
51	Norwegian_(Bokmal)	Past,Pres	0.9919098526437445	0.9911561761831881	0.1442157993833828	0.8740272373540856	0.5	0.9251661369546373	0.2970239815082346
52	Bulgarian	Past,Pres,Imp	0.8385999027710258	0.573676615781879	0.2603755323818119	0.4939333181438445	0.4171033644717855	0.7452600875060769	0.7000486144871172
53	Armenian	Past,Pres,Imp	0.9536178107606679	0.9608174285388468	0.2868239904287968	0.6799574694311538	0.7505513073170889	0.8441558441558441	0.8033395176252319
