	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
38	Russian	Past,Pres,Fut	0.9353820912475548	0.7797040153217248	0.2754120933363078	0.454001039366893	0.4306387464360688	0.6859342462295702	0.591847037294125
39	Persian_(Farsi)	Pres,Fut,Past	0.9726254666113646	0.9775851696709075	0.2414862468315947	0.9167989967989968	0.9298061341919545	0.9141435089174617	0.9220240564081295
40	Czech	Past,Pres,Fut	0.9875823471112924	0.9784643204875438	0.34598075704020226	0.7069845094676177	0.7304808484560764	0.7283274062846149	0.6942225849705591
41	Latvian	Past,Pres,Fut	0.8235073225685318	0.7510000004185439	0.17920629318029768	0.5093849982733915	0.5636275083303578	0.5983852797596696	0.6676680435598948
42	Icelandic	Past,Pres	0.9307987032124964	0.9288086758283667	0.11203819825952277	0.8270455668562438	0.8441694839553834	0.8478632478632478	0.8427939876215739
43	Afrikaans	Pres,Past	0.9458762886597938	0.8371759350880665	0.09314847389282566	0.752016129032258	0.7691223035820305	0.9207474226804123	0.9110824742268041
44	Portuguese	Past,Pqp,Fut,Imp,Pres	0.9168207024029574	0.7173236094578141	0.2268335974553295	0.47455685078423004	0.478029100360785	0.7302974290035288	0.689800033607797
45	Slovenian	Pres,Fut	0.9995983935742971	0.9997903563941299	0.24898916474008603	0.9761904761904762	0.9761904761904762	0.9979919678714859	0.9979919678714859
46	English	Pres,Past	0.9835651074589128	0.9822571511352263	0.1975140269088146	0.818025777449999	0.8430229240197369	0.8487147071217868	0.8504003371260008
47	Irish	Past,Pres,Fut	0.8868729989327642	0.8875070505278636	0.13081404156803966	0.7302108103548313	0.7394829354783248	0.7790821771611526	0.8143009605122732
48	Swedish	Past,Pres	0.9536103267446551	0.9237986257983732	0.15109879922576952	0.6635021097046414	0.6773672359186422	0.8713190802743042	0.8676885841064945
49	Ligurian	Pres,Imp,Past	0.7439143135345667	0.46201970819647087	0.10225237365935402	0.273582995951417	0.3223378657092659	0.6874391431353457	0.5881207400194742
50	Marathi	Past,Pres,Fut	0.9090909090909091	0.9166666666666666	0.20373376623376616	0.5833333333333334	0.5833333333333334	0.8636363636363636	0.8636363636363636
51	Norwegian_(Bokmal)	Pres,Past	0.9936434556486564	0.9932318429634037	0.18272441406819862	0.8740272373540856	0.891120552199731	0.9251661369546373	0.8919387460271598
52	Bulgarian	Pres,Imp,Past	0.8434613514827418	0.7751036682615631	0.1427490645328563	0.4939333181438445	0.5350201260727577	0.7452600875060769	0.7068546426835197
53	Armenian	Pres,Imp,Past	0.9536178107606679	0.9495049878656174	0.30589704020945674	0.6799574694311538	0.7574777830780376	0.8441558441558441	0.8014842300556586
54	Latin	Pres,Pqp,Fut,Past	0.9532312925170068	0.5412497534800531	0.14080668455560752	0.46275428799361784	0.47218872331691264	0.9606717687074829	0.9470663265306123
