	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
30	Polish	Fem,Masc,Neut	0.7022444498658209	0.6701921574588393	0.04807802926699023	0.4889338254005793	0.42718087464139626	0.597096852890949	0.5028055623322761
31	Tamil	Masc,Neut,Com	0.8910133843212237	0.5605609332340532	0.2996253861535645	0.515032679738562	0.4688756515264334	0.8881453154875717	0.7915869980879541
32	Russian	Fem,Masc,Neut	0.7928059114216225	0.7834885495058618	0.12878499857325965	0.5416228995789251	0.44497921642763033	0.628460334918594	0.5129428531594193
33	Czech	Masc,Fem,Neut,Fem,Masc,Neut,Fem,Masc,Neut	0.6964543881686536	0.6550048682716086	0.1344354044363908	0.47496787681822655	0.4032997971416963	0.5994951769250824	0.4971796269523381
34	Latvian	Fem,Masc	0.7664197833139499	0.7655612442684843	0.049688224297469	0.6451548287200021	0.5937015750186521	0.6369590500091816	0.5934382077492808
35	Icelandic	Fem,Masc,Neut	0.6980729668006719	0.6695828382785841	-0.06605820653552241	0.5998625568475862	0.5747343987939674	0.6777834399713115	0.5599154445765623
36	Portuguese	Fem,Masc	0.94401955146636	0.9441678249619321	0.13734353400148203	0.7847192200408154	0.7768587463161664	0.7997124784358827	0.7751581368602645
37	Slovenian	Fem,Masc,Neut	0.6752559726962457	0.6500455762227024	-0.0015776095692994208	0.5087236835485575	0.4402130614688973	0.5728668941979522	0.41450511945392493
38	English	Fem,Masc,Neut	1.0	1.0	0.2527701375245579	1.0	0.9926900584795323	1.0	0.9871794871794872
39	Irish	Fem,Masc,Fem,Masc	0.8041324653269176	0.7645178312533758	0.04105006350675733	0.760247462830827	0.6846991642266254	0.8315878856495896	0.7189357486555336
40	Swedish	Fem,Masc,Neut,Com	0.8967265353418308	0.61983148427641	0.16887408758356526	0.5193252546164766	0.49514208077591687	0.8480590961761297	0.7621668597914253
41	Ligurian	Fem,Masc	0.7850076103500762	0.7636537159415506	0.048195358506627484	0.6682785299806576	0.6583567731022282	0.73896499238965	0.7127092846270928
42	Marathi	Fem,Masc,Neut	0.782608695652174	0.7532218049391147	0.012519409937888248	0.676995561625128	0.6013702059861159	0.7880434782608695	0.5978260869565217
43	Norwegian_(Bokmal)	Fem,Fem,Masc,Masc,Neut	0.7537661211661428	0.6305142462741832	0.021903343351285964	0.5101199611127414	0.4897530139034646	0.6900400997073806	0.6213287092229327
44	Bulgarian	Fem,Masc,Neut	0.8328597693464816	0.8305213527169513	0.12909482403994388	0.574194575024595	0.5020746800049388	0.6449941500919272	0.5149590506434899
45	Latin	Fem,Masc,Neut	0.7967909874541265	0.7896418583535628	-0.03925645926883292	0.7619429507689889	0.7216732109206304	0.7786976188444141	0.7293675855594436
